category,coverage_range,source_type,chinese_name,source_file,notes
喬木,大,原生或歸化,榕樹,附表3-綠化植栽種類.pdf,竄根風險需避開建築基礎與鋪面
喬木,大,原生或歸化,樟樹,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,茄苳,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,楓香,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,麵包樹,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,菩提樹,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,鳳凰木,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,芒果,附表3-綠化植栽種類.pdf,落果風險需避開人行與停車動線
喬木,大,原生或歸化,印度紫檀,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,欖仁,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,光臘樹,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,大葉山欖,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,黃連木,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,刺桐,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,相思樹,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,杜英,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,朴樹,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,櫸木,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,紅楠,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,雨豆樹,附表3-綠化植栽種類.pdf,
喬木,大,原生或歸化,黑板樹,附表3-綠化植栽種類.pdf,斷枝風險需評估風害與人流安全
喬木,大,原生或歸化,臺灣欒樹,附表3-綠化植栽種類.pdf,
喬木,大,外來,火燄木,附表3-綠化植栽種類.pdf,
喬木,大,外來,洋玉蘭,附表3-綠化植栽種類.pdf,
喬木,大,外來,小葉南洋杉,附表3-綠化植栽種類.pdf,
喬木,大,外來,落羽松,附表3-綠化植栽種類.pdf,
喬木,大,外來,木麻黃,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,荔枝,附表3-綠化植栽種類.pdf,落果風險需避開人行與停車動線
喬木,中,原生或歸化,水黃皮,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,黃槿,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,玉蘭花,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,苦楝,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,流蘇,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,鐵冬青,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,白千層,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,竹柏,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,大花紫薇,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,無患子,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,九芎,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,小葉欖仁,附表3-綠化植栽種類.pdf,
喬木,中,原生或歸化,龍眼,附表3-綠化植栽種類.pdf,落果風險需避開人行與停車動線
喬木,中,外來,阿勃勒,附表3-綠化植栽種類.pdf,
喬木,中,外來,第倫桃,附表3-綠化植栽種類.pdf,落果風險需避開人行與停車動線
喬木,中,外來,風鈴木,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,羊蹄甲,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,海檬果,附表3-綠化植栽種類.pdf,有毒風險不宜用於高接觸公共空間
喬木,小,原生或歸化,臺灣海桐,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,山芙蓉,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,魚木,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,山櫻花,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,梅,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,小葉赤楠,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,大頭茶,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,珊瑚樹,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,穗花棋盤腳,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,福木,附表3-綠化植栽種類.pdf,
喬木,小,原生或歸化,羅漢松,附表3-綠化植栽種類.pdf,
喬木,小,外來,艷紫荊,附表3-綠化植栽種類.pdf,
喬木,小,外來,緬梔,附表3-綠化植栽種類.pdf,
喬木,小,外來,龍柏,附表3-綠化植栽種類.pdf,
喬木,小,外來,紅瓶刷子樹,附表3-綠化植栽種類.pdf,
喬木,小,外來,藍花楹,附表3-綠化植栽種類.pdf,
棕櫚類,,原生或歸化,山棕,附表3-綠化植栽種類.pdf,
棕櫚類,,原生或歸化,蒲葵,附表3-綠化植栽種類.pdf,
棕櫚類,,原生或歸化,臺灣海棗,附表3-綠化植栽種類.pdf,
棕櫚類,,外來,大王椰子,附表3-綠化植栽種類.pdf,
棕櫚類,,外來,可可椰子,附表3-綠化植栽種類.pdf,
棕櫚類,,外來,酒瓶椰子,附表3-綠化植栽種類.pdf,
灌木,,,竹類,附表3-綠化植栽種類.pdf,
灌木,,,女貞類,附表3-綠化植栽種類.pdf,
灌木,,,夾竹桃,附表3-綠化植栽種類.pdf,有毒風險需審慎使用
灌木,,,鵝掌藤,附表3-綠化植栽種類.pdf,
灌木,,,茶花,附表3-綠化植栽種類.pdf,
灌木,,,杜鵑類,附表3-綠化植栽種類.pdf,
灌木,,,仙丹類,附表3-綠化植栽種類.pdf,
灌木,,,朱槿類,附表3-綠化植栽種類.pdf,
灌木,,,木槿,附表3-綠化植栽種類.pdf,
灌木,,,梔子花,附表3-綠化植栽種類.pdf,
灌木,,,六月雪,附表3-綠化植栽種類.pdf,
灌木,,,茉莉花,附表3-綠化植栽種類.pdf,
灌木,,,桂花,附表3-綠化植栽種類.pdf,
灌木,,,金露華,附表3-綠化植栽種類.pdf,
灌木,,,七里香,附表3-綠化植栽種類.pdf,
